nome,class,país,ano,lucro,custo,vitórias,indicações,nota_media,total_votos,filme_categoria
Bratz: O Filme,Livre,EUA,2007,26013153,20000000,0,5,3.1,25000,Piores
Loucademia de Polícia 7: Missão Moscou,14,EUA,1994,126247,6200000,0,0,3.5,36000,Piores
Acampamento do Papai,Livre,EUA,2007,18197398,6000000,1,5,3.2,18000,Piores
Smolensk,Não Classificado,Polônia,2016,2336032,3000000,0,0,1.2,40000,Piores
Mestre do Disfarce,14,EUA,2002,43411001,16000000,1,6,3.3,27000,Piores
The Room,14,EUA,2003,5170750,6000000,1,0,3.6,96000,Piores
O Massacre da Serra Elétrica: O Retorno,16,EUA,1994,185898,600000,0,1,3.3,26000,Piores
Todo Mundo em Pânico 5,14,EUA,2013,78378744,20000000,0,5,3.5,78000,Piores
Debi & Lóide 2: Quando Debi Conheceu Lóide,Livre,EUA,2003,39267515,19000000,1,7,3.4,43000,Piores
Tees Maar Khan,Não Classificado,Índia,2010,13681934,4200000,11,13,2.7,14000,Piores
Emoji: O Filme,Livre,EUA,2017,217776646,50000000,6,4,3.4,72000,Piores
Jogos Famintos,14,EUA,2013,3906308,4999278,0,0,3.2,23000,Piores
Os Vampiros Que Se Mordam,14,EUA,2010,80547866,20000000,0,7,3.4,52000,Piores
Steel - O Homem De Aço,12,EUA,1997,1801972,16000000,0,1,3,15000,Piores
Student of the Year 2,Não Classificado,Índia,2019,1635907,9597232,6,9,2.2,23000,Piores
Kazaam,Livre,EUA,1996,18937262,20000000,0,2,3.1,26000,Piores
Mulher-Gato,10,EUA,2004,82402379,100000000,13,8,3.4,126000,Piores
Slender Man: Pesadelo Sem Rosto,12,EUA,2018,51738549,10000000,0,3,3.3,29000,Piores
Rollerball,14,EUA,2002,25852764,70000000,5,3,3.1,30000,Piores
Cada um tem a Gêmea que Merece,10,EUA,2011,149673788,79000000,14,5,3.3,91000,Piores
Tudo pela Honra do Meu Pai,14,EUA,2007,5713425,7000000,1,1,2.3,16000,Piores
O Príncipe Justiceiro,16,Índia,2023,1077952,4.8,0,1,2.7,133000,Piores
O Apocalipse,12,EUA,2014,27405896,16000000,0,5,3.1,43000,Piores
Ursinho Pooh: Sangue e Mel,18,Reino Unido,2023,7717044,100000,6,0,2.9,30000,Piores
BloodRayne,18,Canadá,2005,3650275,25000000,4,11,3,37000,Piores
Trolls II,14,Itália,1990,1131,100000,0,0,3,35000,Piores
Tubarão 4: A Vingança,14,EUA,1987,51881013,23000000,1,7,3,50000,Piores
Glitter: O Brilho de uma Estrela,14,EUA,2001,5272594,22000000,3,10,2.4,24000,Piores
Bebês Geniais,Livre,EUA,1999,36450736,12000000,2,3,2.6,28000,Piores
Cats,Livre,Reino Unido,2019,75558925,95000000,11,8,2.8,56000,Piores
Uma Comédia Nada Romântica,12,EUA,2006,85749034,20000000,4,1,2.8,62000,Piores
Contato de Risco,16,EUA,2003,7266209,54000000,12,13,2.6,51000,Piores
Espartalhões,14,EUA,2008,85897593,30000000,0,6,2.8,112000,Piores
